,ANO_BO,BO_INICIADO,BO_EMITIDO,DATAOCORRENCIA,HORAOCORRENCIA,PERIDOOCORRENCIA,DATACOMUNICACAO,DATAELABORACAO,FLAGRANTE,LOGRADOURO,NUMERO,CIDADE,UF,LATITUDE,LONGITUDE,DESCRICAOLOCAL,SOLUCAO,DELEGACIA_NOME,DELEGACIA_CIRCUNSCRICAO,ESPECIE,RUBRICA,STATUS,geometry
26,2021,2021-01-01 02:30:36,2021-01-01 05:16:02,01/01/2021,00:50:00,DE MADRUGADA,2021-01-01 00:00:00,2021-01-01 02:30:36,Sim,RUA São felipe Neri,18.0,S.PAULO,SP,-23.4355090604683,-46.5752803001648,Via pública,BO PARA FLAGRANTE,73º D.P. JACANA,73º D.P. JACANA,Ato infracional,A.I.-Roubo (art. 157) - VEICULO,Consumado,POINT (-46.5752803001648 -23.4355090604683)
28,2021,2021-01-01 02:30:36,2021-01-01 05:16:02,01/01/2021,00:50:00,DE MADRUGADA,2021-01-01 00:00:00,2021-01-01 02:30:36,Sim,RUA São felipe Neri,18.0,S.PAULO,SP,-23.4355090604683,-46.5752803001648,Via pública,BO PARA FLAGRANTE,73º D.P. JACANA,73º D.P. JACANA,L 8069/90 - ECA,Caput Corromper ou facilitar a corrupção de menor de 18 anos (244B),Consumado,POINT (-46.5752803001648 -23.4355090604683)
30,2021,2021-01-01 02:30:36,2021-01-01 05:16:02,01/01/2021,00:50:00,DE MADRUGADA,2021-01-01 00:00:00,2021-01-01 02:30:36,Sim,RUA São felipe Neri,18.0,S.PAULO,SP,-23.4355090604683,-46.5752803001648,Via pública,BO PARA FLAGRANTE,73º D.P. JACANA,73º D.P. JACANA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.5752803001648 -23.4355090604683)
33,2021,2021-01-01 03:09:19,2021-01-01 05:51:38,01/01/2021,02:30:00,DE MADRUGADA,2021-01-01 00:00:00,2021-01-01 03:09:19,Sim,PRAÇA JANDAIRA,10.0,S.PAULO,SP,-23.528139391,-46.465069177,Via pública,BO PARA FLAGRANTE,24º D.P. PONTE RASA,64º D.P. CID.AE CARVALHO,Localização e/ou Devolução,Localização/Apreensão de objeto,Consumado,POINT (-46.465069177 -23.528139391)
35,2021,2021-01-01 03:09:19,2021-01-01 05:51:38,01/01/2021,02:30:00,DE MADRUGADA,2021-01-01 00:00:00,2021-01-01 03:09:19,Sim,PRAÇA JANDAIRA,10.0,S.PAULO,SP,-23.528139391,-46.465069177,Via pública,BO PARA FLAGRANTE,24º D.P. PONTE RASA,64º D.P. CID.AE CARVALHO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,POINT (-46.465069177 -23.528139391)
37,2021,2021-01-01 03:09:19,2021-01-01 05:51:38,01/01/2021,02:30:00,DE MADRUGADA,2021-01-01 00:00:00,2021-01-01 03:09:19,Sim,PRAÇA JANDAIRA,10.0,S.PAULO,SP,-23.528139391,-46.465069177,Via pública,BO PARA FLAGRANTE,24º D.P. PONTE RASA,64º D.P. CID.AE CARVALHO,Título II - Patrimônio (arts. 155 a 183),Receptação (art. 180) - OUTROS,Consumado,POINT (-46.465069177 -23.528139391)
39,2021,2021-01-01 03:09:19,2021-01-01 05:51:38,01/01/2021,02:30:00,DE MADRUGADA,2021-01-01 00:00:00,2021-01-01 03:09:19,Sim,PRAÇA JANDAIRA,10.0,S.PAULO,SP,-23.528139391,-46.465069177,Via pública,BO PARA FLAGRANTE,24º D.P. PONTE RASA,64º D.P. CID.AE CARVALHO,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.465069177 -23.528139391)
48,2021,2021-01-01 04:29:28,2021-01-01 07:57:21,01/01/2021,04:00:00,DE MADRUGADA,2021-01-01 00:00:00,2021-01-01 04:29:28,Não,RUA MANOEL NASCIMENTO PINTO,10.0,S.PAULO,SP,-23.4623690080342,-46.6884790928977,Via pública,ENCAMINHAMENTO DP ÁREA DO FATO,72º D.P. VILA PENTEADO,45º D.P. V BRASILANDIA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,POINT (-46.6884790928977 -23.4623690080342)
50,2021,2021-01-01 04:29:28,2021-01-01 07:57:21,01/01/2021,04:00:00,DE MADRUGADA,2021-01-01 00:00:00,2021-01-01 04:29:28,Não,RUA MANOEL NASCIMENTO PINTO,10.0,S.PAULO,SP,-23.4623690080342,-46.6884790928977,Via pública,ENCAMINHAMENTO DP ÁREA DO FATO,72º D.P. VILA PENTEADO,45º D.P. V BRASILANDIA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.6884790928977 -23.4623690080342)
120,2021,2021-01-01 15:09:51,2021-01-01 17:21:50,31/12/2020,18:45:00,A NOITE,2021-01-01 00:00:00,2021-01-01 15:09:51,Não,RUA DAS AROEIRAS,238.0,S.PAULO,SP,-23.6374933062186,-46.6495889514535,Via pública,ENCAMINHAMENTO DP ÁREA DO FATO,16º D.P. VILA CLEMENTINO,35º D.P. JABAQUARA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,POINT (-46.6495889514535 -23.6374933062186)
122,2021,2021-01-01 15:09:51,2021-01-01 17:21:50,31/12/2020,18:45:00,A NOITE,2021-01-01 00:00:00,2021-01-01 15:09:51,Não,RUA DAS AROEIRAS,238.0,S.PAULO,SP,-23.6374933062186,-46.6495889514535,Via pública,ENCAMINHAMENTO DP ÁREA DO FATO,16º D.P. VILA CLEMENTINO,35º D.P. JABAQUARA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.6495889514535 -23.6374933062186)
126,2021,2021-01-01 15:30:35,2021-01-01 18:16:09,01/01/2021,10:00:00,PELA MANHÃ,2021-01-01 00:00:00,2021-01-01 15:30:35,Sim,RUA EMBAIXADOR ILDEFONSO FALCAO,6.0,S.PAULO,SP,-23.6068427341515,-46.4771184197272,Via pública,BO PARA FLAGRANTE,49º D.P. SAO MATEUS,49º D.P. SAO MATEUS,Localização e/ou Devolução,Localização/Apreensão e Entrega de objeto,Consumado,POINT (-46.4771184197272 -23.6068427341515)
128,2021,2021-01-01 15:30:35,2021-01-01 18:16:09,01/01/2021,10:00:00,PELA MANHÃ,2021-01-01 00:00:00,2021-01-01 15:30:35,Sim,RUA EMBAIXADOR ILDEFONSO FALCAO,6.0,S.PAULO,SP,-23.6068427341515,-46.4771184197272,Via pública,BO PARA FLAGRANTE,49º D.P. SAO MATEUS,49º D.P. SAO MATEUS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,POINT (-46.4771184197272 -23.6068427341515)
130,2021,2021-01-01 15:30:35,2021-01-01 18:16:09,01/01/2021,10:00:00,PELA MANHÃ,2021-01-01 00:00:00,2021-01-01 15:30:35,Sim,RUA EMBAIXADOR ILDEFONSO FALCAO,6.0,S.PAULO,SP,-23.6068427341515,-46.4771184197272,Via pública,BO PARA FLAGRANTE,49º D.P. SAO MATEUS,49º D.P. SAO MATEUS,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.4771184197272 -23.6068427341515)
137,2021,2021-01-01 19:05:36,2021-01-01 19:05:39,01/01/2021,11:45:00,PELA MANHÃ,2021-01-01 00:00:00,2021-01-01 19:05:36,Não,ALAMEDA SUBTENENTE AVDOR FRANCISCO HIERR,190.0,S.PAULO,SP,-23.515561,-46.566423,Via Pública,BO PARA INVESTIGAÇÃO,DELEGACIA ELETRONICA,90º D.P. PQ. NOVO MUNDO,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.566423 -23.515561)
152,2021,2021-01-01 20:23:48,2021-01-01 22:58:59,01/01/2021,14:14:00,A TARDE,2021-01-01 00:00:00,2021-01-01 20:23:48,Sim,RUA LUIS ROSSETTI,540.0,S.PAULO,SP,-23.602377526988,-46.4756120890963,Via pública,BO PARA FLAGRANTE,49º D.P. SAO MATEUS,49º D.P. SAO MATEUS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,POINT (-46.4756120890963 -23.602377526988)
154,2021,2021-01-01 20:23:48,2021-01-01 22:58:59,01/01/2021,14:14:00,A TARDE,2021-01-01 00:00:00,2021-01-01 20:23:48,Sim,RUA LUIS ROSSETTI,540.0,S.PAULO,SP,-23.602377526988,-46.4756120890963,Via pública,BO PARA FLAGRANTE,49º D.P. SAO MATEUS,49º D.P. SAO MATEUS,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.4756120890963 -23.602377526988)
159,2021,2021-01-01 22:24:29,2021-01-02 01:18:07,01/01/2021,21:00:00,A NOITE,2021-01-01 00:00:00,2021-01-01 22:24:29,Sim,ALAMEDA SARGENTO JOSE PESSOTO SOBRINHO,200.0,S.PAULO,SP,-23.5197293129718,-46.5702278768125,Via pública,BO PARA FLAGRANTE,73º D.P. JACANA,90º D.P. PQ. NOVO MUNDO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,POINT (-46.5702278768125 -23.5197293129718)
161,2021,2021-01-01 22:24:29,2021-01-02 01:18:07,01/01/2021,21:00:00,A NOITE,2021-01-01 00:00:00,2021-01-01 22:24:29,Sim,ALAMEDA SARGENTO JOSE PESSOTO SOBRINHO,200.0,S.PAULO,SP,-23.5197293129718,-46.5702278768125,Via pública,BO PARA FLAGRANTE,73º D.P. JACANA,90º D.P. PQ. NOVO MUNDO,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.5702278768125 -23.5197293129718)
164,2021,2021-01-02 01:22:59,2021-01-02 01:48:40,31/12/2020,01:00:00,DE MADRUGADA,2021-01-02 00:00:00,2021-01-02 01:22:59,Não,RUA ALEXANDRINO DA SILVEIRA BUENO,430.0,S.PAULO,SP,-23.564823297,-46.613329377,Via pública,ENCAMINHAMENTO DP ÁREA DO FATO,"27º DP ""DR. IGNÁCIO FRANCISCO""",06º D.P. CAMBUCI,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,POINT (-46.613329377 -23.564823297)
166,2021,2021-01-02 01:22:59,2021-01-02 01:48:40,31/12/2020,01:00:00,DE MADRUGADA,2021-01-02 00:00:00,2021-01-02 01:22:59,Não,RUA ALEXANDRINO DA SILVEIRA BUENO,430.0,S.PAULO,SP,-23.564823297,-46.613329377,Via pública,ENCAMINHAMENTO DP ÁREA DO FATO,"27º DP ""DR. IGNÁCIO FRANCISCO""",06º D.P. CAMBUCI,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.613329377 -23.564823297)
168,2021,2021-01-02 01:53:26,2021-01-02 01:53:28,01/01/2021,22:26:00,A NOITE,2021-01-02 00:00:00,2021-01-02 01:53:26,Não,RUA ANECY ROCHA,412.0,S.PAULO,SP,-23.6046282854465,-46.4378945729119,Via Pública,BO PARA INVESTIGAÇÃO,DELEGACIA ELETRONICA,49º D.P. SAO MATEUS,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.4378945729119 -23.6046282854465)
178,2021,2021-01-02 00:21:19,2021-01-02 06:19:59,01/01/2021,21:30:00,A NOITE,2021-01-02 00:00:00,2021-01-02 00:21:19,Sim,RUA FRANCOIS BUNEL,221.0,S.PAULO,SP,-23.6493816529277,-46.6101839365813,Via pública,BO PARA FLAGRANTE,26º D.P. SACOMA,83º D.P. PARQUE BRISTOL,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,POINT (-46.6101839365813 -23.6493816529277)
180,2021,2021-01-02 00:21:19,2021-01-02 06:19:59,01/01/2021,21:30:00,A NOITE,2021-01-02 00:00:00,2021-01-02 00:21:19,Sim,RUA FRANCOIS BUNEL,221.0,S.PAULO,SP,-23.6493816529277,-46.6101839365813,Via pública,BO PARA FLAGRANTE,26º D.P. SACOMA,83º D.P. PARQUE BRISTOL,Título II - Patrimônio (arts. 155 a 183),Receptação (art. 180) - VEICULO,Consumado,POINT (-46.6101839365813 -23.6493816529277)
182,2021,2021-01-02 00:21:19,2021-01-02 06:19:59,01/01/2021,21:30:00,A NOITE,2021-01-02 00:00:00,2021-01-02 00:21:19,Sim,RUA FRANCOIS BUNEL,221.0,S.PAULO,SP,-23.6493816529277,-46.6101839365813,Via pública,BO PARA FLAGRANTE,26º D.P. SACOMA,83º D.P. PARQUE BRISTOL,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.6101839365813 -23.6493816529277)
186,2021,2021-01-02 05:20:44,2021-01-02 07:40:14,31/12/2020,03:45:00,DE MADRUGADA,2021-01-02 00:00:00,2021-01-02 05:20:44,Não,RUA ANTONIO ASSUNCAO FERREIRA,59.0,S.PAULO,SP,-23.5966681969999,-46.45363731,Via pública,BO PARA INQUÉRITO,49º D.P. SAO MATEUS,49º D.P. SAO MATEUS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,POINT (-46.45363731 -23.5966681969999)
188,2021,2021-01-02 05:20:44,2021-01-02 07:40:14,31/12/2020,03:45:00,DE MADRUGADA,2021-01-02 00:00:00,2021-01-02 05:20:44,Não,RUA ANTONIO ASSUNCAO FERREIRA,59.0,S.PAULO,SP,-23.5966681969999,-46.45363731,Via pública,BO PARA INQUÉRITO,49º D.P. SAO MATEUS,49º D.P. SAO MATEUS,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.45363731 -23.5966681969999)
198,2021,2021-01-02 10:36:54,2021-01-02 11:12:50,02/01/2021,01:15:00,DE MADRUGADA,2021-01-02 00:00:00,2021-01-02 10:36:54,Não,RUA BARROS PENTEADO,549.0,S.PAULO,SP,-23.5984282852857,-46.4405820603462,Via pública,BO PARA INVESTIGAÇÃO,49º D.P. SAO MATEUS,49º D.P. SAO MATEUS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,POINT (-46.4405820603462 -23.5984282852857)
200,2021,2021-01-02 10:36:54,2021-01-02 11:12:50,02/01/2021,01:15:00,DE MADRUGADA,2021-01-02 00:00:00,2021-01-02 10:36:54,Não,RUA BARROS PENTEADO,549.0,S.PAULO,SP,-23.5984282852857,-46.4405820603462,Via pública,BO PARA INVESTIGAÇÃO,49º D.P. SAO MATEUS,49º D.P. SAO MATEUS,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.4405820603462 -23.5984282852857)
204,2021,2021-01-02 10:33:04,2021-01-02 11:25:27,31/12/2020,19:30:00,A NOITE,2021-01-02 00:00:00,2021-01-02 10:33:04,Não,RUA DO BOQUEIRAO,477.0,S.PAULO,SP,-23.621759283826,-46.6154501928695,Via pública,ENCAMINHAMENTO DP ÁREA DO FATO,16º D.P. VILA CLEMENTINO,26º D.P. SACOMA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,POINT (-46.6154501928695 -23.621759283826)
206,2021,2021-01-02 10:33:04,2021-01-02 11:25:27,31/12/2020,19:30:00,A NOITE,2021-01-02 00:00:00,2021-01-02 10:33:04,Não,RUA DO BOQUEIRAO,477.0,S.PAULO,SP,-23.621759283826,-46.6154501928695,Via pública,ENCAMINHAMENTO DP ÁREA DO FATO,16º D.P. VILA CLEMENTINO,26º D.P. SACOMA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.6154501928695 -23.621759283826)
225,2021,2021-01-02 13:03:43,2021-01-02 13:27:58,31/12/2020,23:08:00,A NOITE,2021-01-02 00:00:00,2021-01-02 13:03:43,Não,AVENIDA ESTRADA DE POÁ,667.0,S.PAULO,SP,-23.554568645,-46.3925234709999,Via pública,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.POL.FERRAZ DE VASCONCELOS,44º D.P. GUAIANAZES,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,POINT (-46.3925234709999 -23.554568645)
227,2021,2021-01-02 13:03:43,2021-01-02 13:27:58,31/12/2020,23:08:00,A NOITE,2021-01-02 00:00:00,2021-01-02 13:03:43,Não,AVENIDA ESTRADA DE POÁ,667.0,S.PAULO,SP,-23.554568645,-46.3925234709999,Via pública,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.POL.FERRAZ DE VASCONCELOS,44º D.P. GUAIANAZES,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.3925234709999 -23.554568645)
230,2021,2021-01-02 14:04:57,2021-01-02 15:08:21,30/12/2020,20:15:00,A NOITE,2021-01-02 00:00:00,2021-01-02 14:04:57,Não,RUA ENGENHEIRO JOAO MONTEIRO DA GAMA,200.0,S.PAULO,SP,-23.6194578420256,-46.6360150926153,Via pública,BO PARA REGISTRO,16º D.P. VILA CLEMENTINO,16º D.P. VILA CLEMENTINO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,POINT (-46.6360150926153 -23.6194578420256)
232,2021,2021-01-02 14:04:57,2021-01-02 15:08:21,30/12/2020,20:15:00,A NOITE,2021-01-02 00:00:00,2021-01-02 14:04:57,Não,RUA ENGENHEIRO JOAO MONTEIRO DA GAMA,200.0,S.PAULO,SP,-23.6194578420256,-46.6360150926153,Via pública,BO PARA REGISTRO,16º D.P. VILA CLEMENTINO,16º D.P. VILA CLEMENTINO,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.6360150926153 -23.6194578420256)
234,2021,2021-01-02 14:41:33,2021-01-02 15:24:18,31/12/2020,12:30:00,A TARDE,2021-01-02 00:00:00,2021-01-02 14:41:33,Não,AVENIDA JOSE HIGINO NEVES,355.0,S.PAULO,SP,-23.5630850906212,-46.4066089874315,Via pública,ENCAMINHAMENTO DP ÁREA DO FATO,53º D.P. PARQUE DO CARMO,44º D.P. GUAIANAZES,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,POINT (-46.4066089874315 -23.5630850906212)
236,2021,2021-01-02 14:41:33,2021-01-02 15:24:18,31/12/2020,12:30:00,A TARDE,2021-01-02 00:00:00,2021-01-02 14:41:33,Não,AVENIDA JOSE HIGINO NEVES,355.0,S.PAULO,SP,-23.5630850906212,-46.4066089874315,Via pública,ENCAMINHAMENTO DP ÁREA DO FATO,53º D.P. PARQUE DO CARMO,44º D.P. GUAIANAZES,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.4066089874315 -23.5630850906212)
246,2021,2021-01-02 17:26:26,2021-01-02 17:51:25,01/01/2021,06:10:00,PELA MANHÃ,2021-01-02 00:00:00,2021-01-02 17:26:26,Não,AVENIDA MARIA CURSI,393.0,S.PAULO,SP,-23.6046891499483,-46.4807104403139,Via pública,BO PARA INVESTIGAÇÃO,49º D.P. SAO MATEUS,49º D.P. SAO MATEUS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,POINT (-46.4807104403139 -23.6046891499483)
248,2021,2021-01-02 17:26:26,2021-01-02 17:51:25,01/01/2021,06:10:00,PELA MANHÃ,2021-01-02 00:00:00,2021-01-02 17:26:26,Não,AVENIDA MARIA CURSI,393.0,S.PAULO,SP,-23.6046891499483,-46.4807104403139,Via pública,BO PARA INVESTIGAÇÃO,49º D.P. SAO MATEUS,49º D.P. SAO MATEUS,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.4807104403139 -23.6046891499483)
250,2021,2021-01-02 18:12:21,2021-01-02 18:34:14,21/12/2020,16:20:00,A TARDE,2021-01-02 00:00:00,2021-01-02 18:12:21,Não,RUA AGAPITO MALUF,100.0,S.PAULO,SP,-23.5461802364931,-46.4147998812739,Via pública,ENCAMINHAMENTO DP ÁREA DO FATO,49º D.P. SAO MATEUS,44º D.P. GUAIANAZES,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,POINT (-46.4147998812739 -23.5461802364931)
252,2021,2021-01-02 18:12:21,2021-01-02 18:34:14,21/12/2020,16:20:00,A TARDE,2021-01-02 00:00:00,2021-01-02 18:12:21,Não,RUA AGAPITO MALUF,100.0,S.PAULO,SP,-23.5461802364931,-46.4147998812739,Via pública,ENCAMINHAMENTO DP ÁREA DO FATO,49º D.P. SAO MATEUS,44º D.P. GUAIANAZES,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.4147998812739 -23.5461802364931)
257,2021,2021-01-02 19:22:09,2021-01-02 19:21:18,31/12/2020,01:00:00,DE MADRUGADA,2021-01-02 00:00:00,2021-01-02 19:22:09,Não,RUA DIAS MOREIA,196.0,S.PAULO,SP,-23.6287477697392,-46.4438532604983,Via Pública,BO PARA INVESTIGAÇÃO,DELEGACIA ELETRONICA,55º D.P. PARQUE S.RAFAEL,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.4438532604983 -23.6287477697392)
259,2021,2021-01-02 19:33:41,2021-01-02 19:32:50,01/01/2021,22:00:00,A NOITE,2021-01-02 00:00:00,2021-01-02 19:33:41,Não,RUA FREI APOLONIO TODI,238.0,S.PAULO,SP,-23.6004126963704,-46.7938116972368,Via Pública,BO PARA INVESTIGAÇÃO,DELEGACIA ELETRONICA,75º D.P. JARDIM ARPOADOR,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.7938116972368 -23.6004126963704)
279,2021,2021-01-02 20:25:00,2021-01-02 22:11:23,30/12/2020,12:00:00,PELA MANHÃ,2021-01-02 00:00:00,2021-01-02 20:25:00,Não,RUA DOS GUSMOES,231.0,S.PAULO,SP,-23.5384954212608,-46.641555353826,Via pública,ENCAMINHAMENTO DP ÁREA DO FATO,02º D.P. BOM RETIRO,03º D.P. CAMPOS ELISEOS,Título I - Pessoa (arts. 121 a 154),Seqüestro e cárcere privado (art. 148),Consumado,POINT (-46.641555353826 -23.5384954212608)
281,2021,2021-01-02 20:25:00,2021-01-02 22:11:23,30/12/2020,12:00:00,PELA MANHÃ,2021-01-02 00:00:00,2021-01-02 20:25:00,Não,RUA DOS GUSMOES,231.0,S.PAULO,SP,-23.5384954212608,-46.641555353826,Via pública,ENCAMINHAMENTO DP ÁREA DO FATO,02º D.P. BOM RETIRO,03º D.P. CAMPOS ELISEOS,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.641555353826 -23.5384954212608)
318,2021,2021-01-03 01:29:34,2021-01-03 04:18:07,02/01/2021,23:45:00,A NOITE,2021-01-03 00:00:00,2021-01-03 01:29:34,Sim,AVENIDA RAGUEB CHOHFI,4285.0,S.PAULO,SP,-23.5946828485303,-46.4451506846778,Comércio e serviços,BO PARA FLAGRANTE,49º D.P. SAO MATEUS,49º D.P. SAO MATEUS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,POINT (-46.4451506846778 -23.5946828485303)
320,2021,2021-01-03 01:29:34,2021-01-03 04:18:07,02/01/2021,23:45:00,A NOITE,2021-01-03 00:00:00,2021-01-03 01:29:34,Sim,AVENIDA RAGUEB CHOHFI,4285.0,S.PAULO,SP,-23.5946828485303,-46.4451506846778,Comércio e serviços,BO PARA FLAGRANTE,49º D.P. SAO MATEUS,49º D.P. SAO MATEUS,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.4451506846778 -23.5946828485303)
322,2021,2021-01-03 03:59:26,2021-01-03 05:34:32,02/01/2021,21:50:00,A NOITE,2021-01-03 00:00:00,2021-01-03 03:59:26,Sim,RUA ALDEAMENTO,80.0,S.PAULO,SP,-23.5188910610704,-46.4821217461267,Via pública,BO PARA FLAGRANTE,63º D.P. VILA JACUI,64º D.P. CID.AE CARVALHO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,POINT (-46.4821217461267 -23.5188910610704)
325,2021,2021-01-03 03:59:26,2021-01-03 05:34:32,02/01/2021,21:50:00,A NOITE,2021-01-03 00:00:00,2021-01-03 03:59:26,Sim,RUA ALDEAMENTO,80.0,S.PAULO,SP,-23.5188910610704,-46.4821217461267,Via pública,BO PARA FLAGRANTE,63º D.P. VILA JACUI,64º D.P. CID.AE CARVALHO,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.4821217461267 -23.5188910610704)
337,2021,2021-01-03 07:56:12,2021-01-03 07:56:19,03/01/2021,01:55:00,DE MADRUGADA,2021-01-03 00:00:00,2021-01-03 07:56:12,Não,RUA PROFESSOR CIRO FORNICOLA,86.0,S.PAULO,SP,-23.624656435127,-46.4706328561128,Via Pública,BO PARA INVESTIGAÇÃO,DELEGACIA ELETRONICA,55º D.P. PARQUE S.RAFAEL,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.4706328561128 -23.624656435127)
340,2021,2021-01-03 09:41:10,2021-01-03 09:39:12,01/01/2021,18:30:00,A NOITE,2021-01-03 00:00:00,2021-01-03 09:41:10,Não,RUA SANTO ANTONIO DE ITABERAVA,105.0,S.PAULO,SP,-23.5561700180516,-46.4514071592009,Via Pública,BO PARA INVESTIGAÇÃO,DELEGACIA ELETRONICA,32º D.P. ITAQUERA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.4514071592009 -23.5561700180516)
363,2021,2021-01-03 13:28:43,2021-01-03 13:28:48,02/01/2021,18:30:00,A NOITE,2021-01-03 00:00:00,2021-01-03 13:28:43,Não,RUA MARAJA ACU,60.0,S.PAULO,SP,-23.5602085427859,-46.5064775335242,Via Pública,BO PARA INVESTIGAÇÃO,DELEGACIA ELETRONICA,66º D.P. JDIM ARICANDUVA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.5064775335242 -23.5602085427859)
365,2021,2021-01-03 09:06:51,2021-01-03 13:41:40,03/01/2021,07:30:00,PELA MANHÃ,2021-01-03 00:00:00,2021-01-03 09:06:51,Não,RUA FORTE CANANEIA,313.0,S.PAULO,SP,-23.600617313216,-46.4639493830412,Via pública,ENCAMINHAMENTO DP ÁREA DO FATO,02º D.P. SANTO ANDRÉ,49º D.P. SAO MATEUS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,POINT (-46.4639493830412 -23.600617313216)
368,2021,2021-01-03 09:06:51,2021-01-03 13:41:40,03/01/2021,07:30:00,PELA MANHÃ,2021-01-03 00:00:00,2021-01-03 09:06:51,Não,RUA FORTE CANANEIA,313.0,S.PAULO,SP,-23.600617313216,-46.4639493830412,Via pública,ENCAMINHAMENTO DP ÁREA DO FATO,02º D.P. SANTO ANDRÉ,49º D.P. SAO MATEUS,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.4639493830412 -23.600617313216)
371,2021,2021-01-03 12:44:45,2021-01-03 14:25:10,03/01/2021,10:08:00,PELA MANHÃ,2021-01-03 00:00:00,2021-01-03 12:44:45,Sim,RUA ALFREDO RICCI,61.0,S.PAULO,SP,-23.542202718,-46.4386276675714,Via pública,BO PARA FLAGRANTE,49º D.P. SAO MATEUS,103º D.P. COHABII/ITAQU.,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,POINT (-46.4386276675714 -23.542202718)
